Sigla;Código;Estado;Ano2014;Ano2018
AC;12;Acre;6414;12917
AL;27;Alagoas;80189;30692
AM;13;Amazonas;74424;7599
AP;16;Amapá;19737;8041
BA;29;Bahia;50724;4796
CE;23;Ceará;919367;206086
DF;53;Distrito Federal;20549;86917
ES;32;Espírito Santo;19019;31716
GO;52;Goiás;55845;191721
MA;21;Maranhão;13573;32523
MG;31;Minas Gerais;151611;189560
MS;50;Mato Grosso do Sul;10330;2373
MT;51;Mato Grosso;31610;35502
PA;15;Pará;112708;30554
PB;25;Paraíba;25807;8248
PE;26;Pernambuco;53985;66171
PI;22;Piauí;35144;15761
PR;41;Paraná;22518;163214
RJ;33;Rio de Janeiro;106682;123819
RN;24;Rio Grande do Norte;266738;33550
RO;11;Rondônia;2122;14430
RR;14;Roraima;8382;2847
RS;43;Rio Grande do Sul;16882;45751
SC;42;Santa Catarina;17695;3278
SE;28;Sergipe;18110;553
SP;35;São Paulo;120661;309886
TO;17;Tocantins;32653;29149
